A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S
256	8	100	1	15	15	5	8	256	10	100	100	256	7	2	3	256	512	50
1	100	8	10	2	256	10	1	3	15	15	512	256	0	1	9	2	50	8
7	50	50	3	9	4	1	512	512	8	5	4	1	4	4	10	100	5	256
100	15	3	6	6	7	0	4	3	512	512	15	9	9	100	7	1	1	15
100	2	15	15	7	10	2	6	10	9	2	6	5	2	9	15	9	0	7
1	5	5	9	3	50	9	15	2	6	9	7	3	10	7	100	50	100	3
512	7	4	256	256	8	3	9	8	9	3	9	4	50	50	512	0	8	6
512	50	256	4	1	6	15	5	5	7	50	1	10	15	256	2	5	256	1
2	3	9	100	5	1	50	10	1	5	0	8	15	256	15	256	4	15	9
2	9	6	7	10	100	100	2	5	50	8	2	8	6	5	8	8	6	5
50	512	0	2	100	9	4	1	4	4	50	0	0	512	512	6	3	4	0
5	6	512	5	4	3	8	0	9	3	6	3	100	8	256	5	7	7	10
5	4	2	0	512	512	256	4	6	1	7	10	7	1	10	50	15	9	0
7	10	1	50	5	5	512	100	50	256	1	5	6	3	8	7	10	2	512
10	0	10	512	0	0	7	3	7	100	256	256	2	1	0	4	6	2	100
8	256	7	8	8	2	6	50	100	2	10	50	15	5	6	1	100	10	4
10	6	2	15	50	4	10	7	0	0	4	50	50	100	3	0	512	3	50
9	1	5	6	10	0	1	256	15	10	4	8	512	3	50	5	5	0	2
15	1	15	5	256	256	9	100	256	4	10	4	9	6	15	2	512	9	100
2	8	7	10	0	2	512	0	8	7	5	10	512	7	3	100	9	4	15
9	100	6	2	50	256	8	6	512	2	100	5	10	10	100	4	15	8	9
15	0	9	256	1	15	0	50	10	1	0	512	6	4	5	6	50	7	6
9	9	8	512	2	4	512	9	7	5	7	7	0	9	9	1	7	512	1
6	3	3	2	15	50	256	256	100	256	8	3	5	15	0	256	0	5	8
6	1	256	8	6	3	2	7	6	100	1	100	3	256	4	512	3	50	5
6	0	0	7	7	7	5	512	50	15	3	0	50	8	10	100	4	256	4
0	15	10	15	3	8	6	5	15	8	6	512	7	512	2	8	1	15	512
3	1	0	3	512	5	15	9	1	3	512	256	8	100	6	9	256	100	7
4	100	4	8	0	512	50	2	15	0	9	1	100	2	512	3	10	1	256
0	256	3	0	4	1	15	8	0	6	1	6	1	50	1	6	6	6	2
9	10	4	3	7	15	4	10	9	7	15	15	2	5	8	50	8	3	3
0	4	50	1	9	6	512	256	4	512	256	2	4	0	7	15	4	10	10
4	512	256	6	512	9	8	3	100	50	2	7	1	7	8	0	2	15	6
0	2	256	100	3	10	7	100	3	10	7	9	100	100	0	10	8	4	4
3	256	100	9	2	6	3	7	2	256	3	8	2	6	100	3	9	7	0
256	9	512	50	4	5	6	3	2	512	0	0	50	2	4	50	5	8	8
3	8	1	4	8	5	100	6	7	6	15	9	7	4	512	0	7	10	5
5	7	100	50	100	2	256	15	7	15	9	4	10	256	5	15	1	3	2
8	5	8	4	256	100	0	8	50	50	5	256	3	512	3	256	15	0	10
8	3	6	5	0	10	1	15	4	1	512	6	50	5	2	7	0	50	1
8	15	512	9	5	9	5	2	10	9	4	10	0	0	6	2	6	5	3
50	2	5	3	1	100	3	3	4	9	6	5	256	256	10	1	512	6	15
256	3	15	0	9	4	100	1	1	15	10	100	512	50	256	4	50	1	512
10	5	10	50	10	1	50	5	8	1	10	15	5	8	7	9	3	512	256
4	6	1	6	2	10	4	50	6	8	8	10	15	50	7	5	256	256	100
50	512	1	100	4	50	0	512	9	2	256	1	8	10	9	512	2	9	50
4	100	9	10	100	3	5	4	0	6	7	0	4	15	15	8	100	2	7
50	256	2	256	8	0	2	10	256	15	50	3	4	9	3	10	10	100	9
15	3	50	1	6	8	10	5	50	5	100	50	9	1	512	5	9	6	3
512	2	50	512	15	7	7	0	0	4	0	4	6	5	50	3	2	100	5
10	50	1	7	0	9	9	9	512	10	2	2	3	15	1	50	1	7	9
15	7	7	10	2	512	7	10	5	3	2	100	0	10	0	7	512	10	256
1	5	7	256	50	10	256	1	15	512	100	50	8	3	10	2	7	2	6
7	4	10	7	8	3	4	7	5	5	512	5	100	7	50	15	50	9	8
100	10	1	5	512	50	10	0	5	100	9	15	256	512	6	10	4	8	2
100	1	512	1	50	100	7	6	2	50	3	1	15	0	0	6	100	3	512
256	7	0	50	50	6	8	50	1	4	15	8	3	1	9	8	10	5	15
7	8	5	9	9	1	6	4	10	0	3	2	10	3	9	256	8	50	100
50	9	2	512	3	2	5	100	512	100	50	6	15	4	8	9	0	1	10
256	4	8	6	1	256	100	10	512	256	9	50	6	8	2	512	6	4	7
512	10	6	6	100	15	3	512	256	3	4	7	7	2	1	256	3	2	4
1	50	9	50	5	512	2	9	4	100	8	9	9	6	256	100	15	15	50
6	50	7	2	256	0	50	15	6	2	6	6	6	0	15	0	8	512	0
10	100	100	0	5	8	100	256	2	2	5	3	9	100	9	3	3	256	6
1	0	3	100	100	8	7	2	9	256	10	2	7	9	4	100	256	0	1
256	100	10	1	7	10	9	0	8	9	1	256	1	9	5	256	5	10	0
3	6	9	3	10	2	10	8	50	4	256	10	5	2	100	512	50	15	1
2	2	9	8	256	5	7	1	100	0	4	15	1	1	2	15	7	256	9
5	6	5	0	1	7	50	6	256	512	1	512	2	7	6	8	0	0	256
5	512	512	4	2	50	15	7	8	8	0	2	9	5	10	4	10	4	2
0	0	4	2	3	9	0	15	1	7	2	8	256	2	3	5	100	9	5
3	5	15	10	6	100	8	512	6	0	50	512	5	6	50	7	6	3	4
7	2	0	15	4	512	100	2	100	8	15	4	4	3	100	6	5	512	3
256	512	4	8	6	7	1	8	7	7	8	100	7	3	7	10	512	7	7
6	2	15	256	5	2	1	7	3	1	256	7	2	8	512	256	256	8	512
7	2	7	4	15	256	3	5	15	6	512	3	0	50	5	50	4	1	50
512	6	4	8	9	6	2	100	100	1	100	256	0	4	15	100	1	6	8
4	15	2	3	7	256	50	50	2	5	4	9	8	15	50	4	1	50	10
15	512	3	15	8	4	3	256	6	10	9	0	10	5	4	9	7	15	15
3	7	3	1	10	15	9	10	15	7	7	5	50	512	256	1	2	5	100
7	15	50	512	512	10	50	8	9	3	15	0	512	6	0	1	1	100	6
100	512	8	7	15	15	50	3	0	100	3	3	512	100	1	2	15	10	3
8	1	100	100	7	15	512	4	512	4	8	512	100	8	4	0	9	100	2
9	7	2	4	4	7	6	256	6	9	10	7	256	100	2	6	9	2	256
100	4	6	512	1	3	6	9	50	6	2	15	100	3	3	4	256	5	0
2	10	10	9	512	1	256	9	3	5	6	100	50	4	100	2	10	0	4
9	5	256	5	9	512	512	2	8	256	512	0	3	4	6	5	2	3	9
4	0	50	2	5	4	256	50	5	0	7	6	9	7	1	512	5	100	512
512	256	512	10	7	50	1	2	1	10	6	9	6	10	3	15	3	1	100
4	100	15	7	8	0	15	15	3	3	3	4	5	1	4	1	0	4	50
4	4	3	9	10	10	8	100	10	15	5	1	4	10	6	50	512	512	5
4	15	0	5	15	50	100	512	10	512	100	5	1	256	3	9	8	7	1
100	3	256	256	0	1	3	8	4	8	7	4	8	10	8	0	6	256	8
3	3	100	15	50	512	1	3	9	5	1	15	10	50	5	3	100	4	10
9	10	0	100	6	8	2	3	5	6	5	50	2	0	256	0	0	9	9
2	8	512	15	15	6	9	4	0	2	50	256	7	256	8	5	50	8	256
9	50	10	0	50	9	100	100	50	3	0	3	2	512	15	15	100	50	15
6	256	2	9	3	5	4	1	10	8	256	4	3	7	256	7	4	6	7
10	8	6	1	9	0	0	100	7	256	15	1	100	50	10	8	3	15	3
50	0	100	5	256	3	3	6	100	5	50	10	6	100	7	8	15	1	2
1	50	5	8	7	1	10	5	512	50	512	10	4	256	0	3	7	9	512
7	8	8	8	100	100	15	0	5	8	256	8	50	9	15	9	15	3	6
1	7	10	0	4	100	5	1	256	0	512	8	6	15	8	10	9	10	1
512	50	8	100	10	5	4	0	15	512	2	100	15	6	512	4	6	512	15
512	512	9	0	0	8	9	6	7	15	0	50	256	8	100	7	8	5	10
15	6	100	3	50	0	4	5	7	100	5	2	512	15	2	6	2	8	4
256	50	0	10	256	9	15	256	2	1	100	512	100	9	8	1	4	2	5
15	9	5	2	6	3	512	15	0	50	10	9	100	512	1	50	10	256	7
0	8	1	50	15	5	256	2	0	15	512	7	15	5	256	512	512	0	0
5	100	256	6	8	2	256	9	9	50	0	8	5	0	2	10	50	6	100
0	5	512	6	3	7	10	10	8	4	5	6	10	1	5	2	256	7	8
5	5	9	256	512	256	4	512	0	10	6	1	0	2	7	1	9	50	512
2	10	50	256	100	256	6	256	512	50	7	256	512	2	6	7	3	7	50
256	1	6	512	2	4	0	10	10	100	6	5	5	15	512	100	100	9	2
50	9	7	7	100	4	2	5	1	9	7	512	3	5	100	5	256	10	6
1	256	15	512	100	512	10	7	100	7	3	5	8	4	2	50	3	100	15
1	3	256	4	512	4	6	2	2	4	50	5	2	50	10	256	1	512	7
6	4	9	512	2	9	15	4	256	256	9	100	512	512	9	0	5	6	4
50	256	8	5	6	15	5	0	3	6	100	2	8	50	0	15	5	15	256
6	6	3	100	512	100	6	50	4	7	15	6	0	8	4	3	50	2	9
100	9	9	1	2	9	512	15	15	2	1	256	10	8	50	10	512	1	3
8	256	10	2	100	5	9	5	3	512	8	6	512	10	10	512	7	3	10
8	10	5	512	8	15	1	9	6	0	2	1	1	256	100	8	4	4	8
8	2	3	7	9	50	7	9	256	7	100	0	15	100	5	0	10	50	0
6	9	4	3	0	6	5	7	2	3	7	1	9	3	5	9	6	0	9
0	50	3	4	1	2	256	6	1	0	4	0	8	9	7	3	0	8	3
2	15	2	7	50	8	8	10	4	1	9	0	1	4	1	512	9	512	100
5	8	1	2	7	1	0	3	3	3	9	50	2	6	50	6	15	5	1
100	0	50	10	4	2	8	7	15	10	8	15	3	256	9	2	0	15	0
7	9	100	15	9	50	50	1	7	50	2	5	7	1	15	512	0	256	2
15	1	8	9	4	6	10	512	4	10	1	3	7	1	6	4	8	1	6
8	512	4	0	10	3	100	50	15	5	50	4	1	0	0	100	9	8	5
10	0	15	50	1	50	2	4	0	9	4	10	10	6	512	10	2	512	10
8	256	0	5	10	8	256	4	8	100	15	7	6	9	50	4	100	256	50
9	10	7	7	5	3	3	8	10	512	50	9	100	1	15	10	2	0	512
50	15	7	50	2	1	1	6	512	10	10	256	256	1	256	256	50	3	5
6	15	100	100	0	7	8	1	50	256	4	8	4	5	5	1	15	9	256
10	3	10	5	1	6	0	0	15	2	9	9	4	100	4	7	256	6	9
9	15	1	1	256	256	7	4	1	15	256	50	5	100	8	100	5	7	15
10	0	2	5	6	6	15	50	4	15	5	100	6	2	15	256	7	4	3
4	9	1	2	4	8	2	8	8	50	256	100	10	9	10	15	50	5	4
15	15	6	256	7	512	50	15	100	6	50	2	50	7	9	5	512	2	8
50	4	15	10	10	7	3	7	512	50	1	9	15	15	10	5	4	100	1
3	1	2	8	9	10	4	15	50	2	0	10	256	5	1	8	6	8	50
9	2	15	50	6	1	10	256	50	2	8	1	0	7	3	9	1	10	100
5	2	7	3	15	15	6	100	2	15	8	8	10	512	7	7	6	9	6
2	8	0	256	4	9	3	5	9	15	2	512	9	4	0	3	15	50	7
8	100	2	10	3	1	2	3	256	256	5	7	50	50	512	15	8	7	512
15	10	4	8	15	2	8	1	8	8	512	2	2	100	3	1	6	100	10
100	6	15	6	15	3	512	10	7	0	6	7	4	6	10	9	5	4	5
5	9	0	9	0	5	1	10	5	2	3	256	1	50	7	2	2	2	15
512	4	4	1	3	100	2	512	3	8	10	256	6	7	100	50	7	50	2
50	8	256	15	50	5	0	256	5	9	100	10	3	8	1	1	100	1	8
256	0	6	15	512	0	256	100	9	6	256	9	15	512	50	2	9	3	256
512	7	15	4	5	0	512	50	9	100	4	512	50	10	7	9	100	6	0
100	256	5	6	5	256	1	100	8	9	100	100	7	15	4	6	8	100	100
7	10	256	1	8	7	5	15	9	1	6	4	256	6	9	4	3	10	9
9	5	7	100	1	2	9	0	6	5	3	2	15	2	8	0	3	5	7
0	7	8	3	7	4	5	6	6	256	0	3	1	3	512	2	50	50	50
512	3	8	9	3	0	9	0	0	1	15	5	9	0	4	8	256	9	4
1	5	50	7	3	0	8	4	7	8	0	15	8	0	6	256	512	1	1
5	100	50	8	2	50	256	512	10	4	512	9	512	2	8	8	100	512	9
2	50	0	50	9	50	512	7	256	5	15	3	5	10	2	6	512	0	6
10	8	4	3	8	50	7	9	10	4	9	6	8	50	4	5	15	10	512
1	4	100	4	1	7	0	1	100	3	7	3	1	2	50	100	10	3	100
3	1	512	50	0	256	15	1	5	512	7	7	5	4	3	3	4	15	3
4	4	6	2	256	100	10	3	1	10	1	10	50	3	256	6	1	256	256
10	1	50	0	2	3	8	2	512	7	256	50	0	50	2	1	10	0	8
5	10	50	512	256	6	100	5	100	9	4	0	256	10	15	6	256	15	5
6	6	8	256	8	10	6	3	7	4	50	100	9	10	1	10	4	3	0
5	15	50	100	9	512	3	10	2	100	10	6	3	3	3	0	7	8	4
7	7	6	9	2	8	100	50	0	7	100	6	5	9	6	50	6	15	10
2	0	256	0	10	8	10	512	6	512	6	256	100	5	3	6	0	10	7
10	4	512	50	5	10	0	5	6	0	3	4	0	512	5	4	0	7	15
0	3	512	10	6	2	4	8	5	1	2	5	4	8	8	6	7	0	50
6	50	10	10	512	15	7	6	10	6	5	8	0	6	6	512	10	256	10
3	10	7	2	10	512	10	6	256	8	0	1	512	8	4	15	1	2	0
2	256	3	9	1	4	4	256	8	3	512	256	256	0	9	0	15	4	512
3	15	4	0	15	10	10	9	0	50	10	512	2	10	512	7	5	4	9
10	5	7	6	7	9	5	8	50	2	15	512	7	100	256	15	10	8	1
3	512	10	256	256	100	512	256	10	256	15	50	1	256	15	50	0	100	4
3	100	5	50	3	512	7	8	100	512	4	3	3	256	1	4	9	9	1
50	7	4	7	8	256	512	4	50	1	1	8	15	10	256	3	7	5	2
512	9	0	100	8	256	0	6	10	7	8	3	50	15	1	0	256	4	256
2	6	256	3	6	50	100	100	4	0	3	50	3	4	50	1	256	2	2
256	6	50	15	5	1	5	15	512	4	6	1	2	9	0	50	2	6	6
7	5	512	1	4	4	100	3	256	100	3	10	100	15	7	7	1	0	5
0	1	9	5	7	6	6	2	7	6	10	1	50	0	8	10	15	100	15
0	100	6	8	4	0	9	512	1	9	100	15	6	6	0	0	4	0	15
100	7	2	5	100	5	9	8	6	50	7	50	2	7	9	100	6	1	5
2	2	100	1	50	2	15	50	10	3	10	15	0	512	10	5	8	15	8
256	3	256	256	256	100	2	0	7	10	4	6	7	512	100	9	10	9	3
15	512	5	100	15	9	2	8	3	0	5	15	15	8	6	8	5	50	0
15	100	8	15	512	3	1	50	256	9	0	2	8	256	256	100	15	512	4
10	512	2	50	5	9	7	100	256	6	6	15	512	0	100	1	50	256	7
9	8	3	100	0	4	15	512	3	50	2	0	6	3	4	2	512	6	10
100	4	5	10	256	5	5	50	8	5	9	512	10	5	100	10	3	2	50
50	5	50	3	2	3	2	15	1	512	5	5	7	5	5	2	4	4	100
0	5	1	7	8	100	50	100	3	4	4	10	9	256	2	4	5	1	7
50	50	5	256	3	6	15	2	9	7	8	50	512	1	50	9	4	512	512
4	10	100	512	6	256	9	2	3	3	50	8	3	5	0	15	50	512	6
6	6	4	4	100	9	2	0	2	2	512	50	4	1	7	256	100	15	100
9	1	512	0	8	6	256	15	2	8	1	15	4	7	512	512	2	7	4
512	5	7	2	512	6	6	3	50	100	512	4	4	9	2	2	8	7	2
1	512	15	8	9	8	0	0	512	10	6	0	5	7	5	3	8	2	1
15	3	2	512	50	3	4	9	1	256	100	1	9	2	50	256	2	10	2
2	2	1	6	3	3	50	5	4	4	1	7	10	3	100	100	0	3	256
6	256	1	6	8	4	7	7	512	1	100	512	50	2	0	8	512	256	3
8	4	0	4	1	4	50	2	9	10	1	100	8	5	15	7	9	8	8
2	10	5	4	2	15	9	7	9	256	256	6	4	100	1	5	1	5	15
8	9	1	15	10	0	4	9	100	9	9	8	7	7	10	3	6	50	9
4	100	7	9	256	7	0	256	4	4	2	3	512	4	5	10	6	8	0
1	100	100	5	512	7	3	9	5	2	256	512	512	3	512	50	512	5	5
256	7	9	2	8	512	5	5	0	5	5	7	8	256	1	7	8	0	100
1	15	1	3	100	7	512	3	2	7	2	4	100	8	15	256	10	6	50
1	1	10	2	5	7	3	512	15	9	15	1	15	512	1	15	50	4	10
3	9	6	10	8	512	256	0	8	15	4	256	2	3	4	100	4	50	6
8	3	256	6	6	1	15	6	15	3	256	2	256	15	5	8	7	100	0
0	2	8	256	512	15	8	7	1	512	10	4	10	15	0	512	3	6	1
7	15	5	5	0	15	7	256	4	0	1	256	5	6	10	2	100	8	7
256	0	4	5	7	100	7	10	50	8	3	7	9	15	6	6	3	512	8
7	6	10	6	50	100	1	4	5	15	50	9	256	5	9	0	100	7	3
8	3	3	4	10	256	4	1	1	6	3	10	100	4	9	10	5	3	6
10	6	3	50	256	5	6	512	3	100	0	2	5	50	15	5	9	1	9
6	256	512	15	50	512	512	50	3	9	7	100	256	50	7	0	1	9	1
2	1	8	0	3	2	6	10	100	5	100	9	2	2	5	7	2	256	0
512	8	3	8	6	9	50	4	512	5	4	4	1	6	10	50	0	10	512
0	4	5	1	15	8	1	15	5	100	15	0	3	0	15	256	6	7	256
4	5	3	15	3	15	15	10	7	9	8	8	1	0	512	4	3	0	50
7	4	15	100	7	0	256	10	0	7	1	2	256	512	0	9	7	1	6
8	0	4	512	2	1	5	256	7	50	50	3	6	2	256	512	256	8	15
7	256	512	3	3	0	9	6	50	10	512	100	15	256	512	100	15	2	6
9	4	50	256	50	3	9	1	15	256	9	6	5	4	256	4	8	256	5
5	0	7	1	15	50	4	50	512	0	9	3	2	3	1	9	512	15	4
15	8	10	512	100	10	100	8	4	100	100	7	10	0	5	5	10	5	512
6	8	8	9	1	8	7	5	6	512	8	10	0	512	8	15	100	100	2
100	6	6	2	256	50	4	10	6	6	10	8	1	100	6	3	2	6	512
15	2	6	0	10	50	100	3	3	1	4	512	3	50	8	2	7	100	100
50	512	1	9	9	512	6	6	9	4	0	15	3	15	3	9	6	256	512
3	6	6	10	1	256	0	7	15	8	5	0	6	1	8	3	1	10	4
50	2	10	15	1	4	8	8	1	50	9	256	9	10	2	1	8	2	0
256	1	9	9	5	50	50	6	8	15	50	2	100	10	50	50	7	6	1
6	9	256	8	5	0	3	1	3	10	3	15	10	9	256	8	9	10	50
10	7	100	10	2	5	50	0	4	3	8	1	256	4	7	6	5	9	4
15	7	512	100	0	512	256	7	15	15	6	10	1	9	50	5	3	9	7
7	100	9	7	6	10	8	256	2	5	0	100	7	8	3	8	256	3	10
100	512	3	512	7	5	512	9	100	1	50	512	512	1	3	512	8	50	256
15	512	0	3	0	1	8	5	8	6	10	5	15	2	10	10	1	1	50
512	0	15	4	50	7	5	15	8	2	2	50	100	10	8	100	512	50	512
3	3	256	9	6	9	9	4	256	100	6	9	0	3	2	3	15	3	8
1	256	4	2	9	256	15	3	6	100	4	2	4	8	9	8	50	256	15
10	256	9	100	0	100	100	15	9	8	9	5	0	100	1	2	0	5	5
15	10	3	256	2	7	15	5	2	10	256	0	100	256	2	512	100	5	9
2	7	1	512	50	9	1	1	100	2	512	1	50	6	4	4	256	100	3
15	256	256	4	9	100	10	512	512	2	7	8	9	6	7	15	256	0	8
50	50	1	6	4	2	10	15	10	256	7	256	15	7	2	256	9	8	10
4	50	15	1	100	10	3	2	15	1	0	2	0	256	100	0	2	9	3
512	9	9	4	7	2	15	100	6	512	15	10	8	7	0	1	10	7	9
4	8	512	7	1	1	2	1	2	7	6	7	512	100	8	256	8	9	15
5	7	5	6	512	10	2	50	512	256	256	0	7	0	3	512	15	1	8
512	9	5	256	15	6	8	3	50	0	7	6	6	512	4	100	2	3	7
6	10	7	256	4	0	7	512	10	5	2	5	3	100	50	3	5	1	100
9	50	9	10	9	0	9	50	5	9	1	3	8	100	3	7	50	512	2
256	2	0	0	2	8	4	100	5	50	4	4	50	3	6	512	1	4	10
100	50	2	8	512	9	6	1	9	512	3	10	6	10	5	5	512	7	4
256	15	2	2	0	4	0	2	256	2	8	15	10	2	2	6	4	50	3
0	10	256	512	100	50	3	50	1	10	5	2	4	50	10	7	9	3	7
256	10	8	3	5	512	256	4	4	2	10	0	15	50	100	15	0	7	5
3	1	10	7	15	5	10	4	9	7	2	9	3	9	10	6	10	512	256
5	5	6	0	6	8	7	1	0	256	5	9	8	7	7	9	4	5	50
8	5	15	0	15	5	1	7	4	4	9	8	15	0	9	50	1	2	3
1	10	512	8	9	2	6	256	0	6	9	512	8	1	0	100	3	4	10
512	9	2	512	1	8	5	512	100	15	1	4	5	8	512	1	15	15	5
3	100	512	512	4	3	0	4	1	50	8	6	2	5	7	2	512	512	9
100	9	0	6	50	6	7	2	512	6	3	100	256	8	512	50	0	512	100
50	15	2	8	0	5	100	4	8	3	15	100	50	256	5	10	3	15	2
0	100	3	10	50	15	2	256	50	8	3	50	7	2	50	4	0	6	9
4	256	50	50	256	1	100	7	7	2	2	1	2	512	2	100	7	10	8
7	3	4	2	7	3	256	5	2	1	256	256	3	4	6	15	512	4	1
0	15	0	100	4	0	100	0	7	4	7	50	10	7	4	50	50	256	0
5	50	100	5	6	0	256	8	512	0	0	5	7	10	9	6	8	10	15
9	1	1	8	512	15	5	3	5	15	6	9	0	1	100	256	5	100	50
5	9	50	50	1	0	10	256	15	4	50	7	50	100	100	256	100	50	7
100	2	7	15	10	0	5	100	15	7	10	7	1	4	15	8	15	7	10
10	6	100	9	100	7	1	100	1	8	4	5	15	9	0	5	8	50	50
1	6	256	7	4	15	4	2	256	5	5	6	10	100	512	4	6	100	256
7	1	4	10	5	8	6	5	256	3	5	512	1	6	256	5	2	1	0
10	3	2	3	15	10	512	0	100	3	100	8	100	7	256	2	3	8	512
15	5	2	100	4	256	8	9	9	1	8	256	512	3	15	3	100	3	1
6	7	100	1	3	1	10	2	6	100	100	9	1	5	15	1	4	4	3
7	8	2	0	256	3	10	15	3	10	10	5	1	15	9	7	6	15	6
5	3	15	15	100	2	5	9	3	7	256	3	6	6	3	512	5	2	256
1	0	5	7	256	6	1	8	6	256	512	4	0	2	256	9	100	8	6
6	512	50	50	100	100	0	10	0	512	1	100	100	0	50	0	50	15	15
8	50	8	15	3	7	256	3	2	100	256	1	5	5	10	0	256	1	100
9	6	0	1	7	8	50	7	10	9	7	5	512	256	7	2	10	3	15
256	8	9	5	3	7	1	7	50	3	2	256	0	50	6	10	9	256	4
9	50	100	4	5	100	512	512	4	6	9	50	5	9	512	8	2	100	8
8	4	100	4	0	2	7	50	0	9	512	3	9	3	8	15	2	6	256
512	256	0	7	512	10	9	10	2	0	256	15	6	50	9	9	15	6	2
6	512	100	0	10	256	6	0	2	0	15	2	10	4	10	5	0	0	0
10	10	100	15	0	4	3	100	15	4	3	9	5	256	6	10	7	50	1
4	2	10	2	1	2	0	9	7	512	3	4	7	50	3	9	9	5	6
8	4	15	3	4	1	512	512	5	256	50	15	256	10	4	4	10	15	7
9	100	4	10	100	6	1	6	8	3	6	10	9	512	5	512	4	9	3
4	1	5	8	50	4	3	0	50	7	50	7	50	8	9	7	6	10	9
0	8	50	5	10	6	4	1	0	3	8	3	10	9	100	0	1	2	512
50	256	6	7	2	9	0	50	8	6	0	1	2	6	15	7	50	0	7
2	512	6	4	3	512	3	15	7	0	100	0	6	5	256	10	5	9	10
50	10	7	9	5	2	2	2	7	15	7	512	4	15	7	4	512	50	256
100	100	50	4	7	512	8	256	256	6	3	9	15	8	2	9	6	9	2
256	0	1	9	0	6	512	6	100	0	0	6	4	0	15	1	3	512	6
3	0	6	50	512	2	50	512	3	1	1	50	4	15	256	15	6	4	3
