A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S
258	581	510	914	184	947	868	862	416	185	574	988	388	384	34	483	535	858	406
750	254	113	479	526	365	28	438	868	550	245	484	19	392	175	316	126	3	49
445	523	460	690	736	992	215	638	705	544	883	159	701	712	620	588	839	559	534
482	845	820	885	382	544	275	523	471	212	879	29	589	909	239	781	521	697	762
77	948	14	977	973	45	838	80	391	342	943	308	375	592	722	559	98	241	369
719	816	948	592	783	479	306	809	83	102	919	659	472	305	69	491	101	10	341
350	571	304	363	608	421	539	145	147	767	606	914	67	365	16	144	864	489	456
966	367	899	51	792	315	98	977	750	680	134	266	44	976	840	378	87	343	937
56	600	165	104	591	824	803	561	166	431	248	225	979	988	937	205	295	232	247
108	845	360	952	664	351	189	515	266	366	671	435	252	487	46	535	403	961	247
230	757	564	274	937	201	731	258	583	116	46	300	955	364	161	505	806	832	828
501	119	787	769	862	674	616	518	783	441	913	751	900	937	544	666	572	974	278
573	700	785	398	85	887	64	984	230	831	891	95	354	965	731	401	429	525	477
111	344	258	87	676	983	85	342	744	486	412	614	397	892	282	952	105	495	703
209	176	941	755	330	758	438	581	23	864	976	505	623	717	692	456	97	68	527
198	509	670	263	318	995	111	954	618	309	317	736	968	56	697	399	766	718	344
493	565	572	546	371	299	953	220	364	697	59	699	290	194	535	255	392	745	637
168	996	27	51	590	717	395	884	886	625	902	347	294	189	355	220	222	909	128
329	469	994	9	134	803	28	757	287	318	237	873	343	353	531	913	871	186	683
867	358	601	267	320	8	830	136	342	520	217	847	285	264	802	309	439	338	549
935	26	246	818	211	287	324	615	999	961	994	911	136	736	31	509	907	497	38
338	402	558	327	99	537	258	72	464	755	51	888	951	762	220	543	494	865	599
715	460	611	742	540	410	413	542	370	216	71	892	989	383	51	270	596	896	619
642	710	113	344	286	434	720	33	397	389	351	15	835	850	254	713	571	788	601
726	551	411	136	563	50	535	626	409	776	29	580	987	714	885	813	543	639	155
610	751	713	526	330	93	438	421	245	142	224	100	872	533	743	342	441	193	320
68	675	653	296	948	314	303	574	823	932	329	37	493	223	214	28	132	876	777
377	241	89	485	330	31	710	451	28	69	814	949	21	543	751	68	108	318	696
573	184	387	505	92	386	746	215	185	910	699	286	751	507	421	509	210	382	183
173	419	399	163	972	316	521	622	591	152	55	775	880	537	311	663	112	779	228
338	410	657	321	314	315	204	722	253	337	942	878	364	740	406	622	616	853	91
755	488	420	54	336	728	815	869	121	134	660	626	735	404	554	779	365	868	270
628	12	794	89	851	687	891	165	73	178	373	756	339	807	922	606	822	23	696
708	713	960	111	280	836	453	527	642	80	955	400	115	185	940	163	477	167	844
671	898	888	790	227	617	934	126	214	639	408	0	984	866	920	495	817	693	149
906	575	6	269	573	579	738	818	505	25	346	606	224	300	242	917	758	425	646
972	518	74	918	228	236	522	823	51	848	770	422	288	882	780	766	957	356	599
344	616	89	681	310	263	535	375	579	685	10	212	48	19	496	927	743	195	810
243	84	464	968	829	179	537	599	608	113	569	399	469	804	115	380	0	44	832
28	741	636	529	901	304	451	828	39	950	927	986	348	256	494	200	622	728	783
935	568	787	241	184	56	426	396	831	463	442	100	916	1000	208	813	29	48	308
234	611	584	663	934	474	825	305	995	488	916	360	182	782	261	37	922	198	378
948	579	588	192	639	385	125	423	722	560	202	178	220	896	8	57	672	367	863
997	292	456	688	332	544	969	360	330	699	212	746	26	675	668	846	514	503	579
343	940	709	486	229	706	736	657	801	188	213	642	530	146	333	444	877	698	909
426	323	120	123	307	291	878	726	359	43	98	193	715	919	906	188	238	19	347
906	432	837	712	202	810	739	637	789	98	952	742	941	989	679	458	918	257	885
779	512	983	406	449	355	825	377	202	942	146	843	786	367	575	305	696	628	113
37	367	504	843	161	408	70	95	925	785	42	223	577	522	788	812	582	965	136
126	673	356	147	629	229	107	318	975	939	971	76	458	808	541	277	483	632	60
436	160	408	188	141	362	113	922	671	172	159	346	842	289	350	143	584	398	293
694	418	814	943	267	857	15	958	398	611	12	931	566	172	658	562	205	782	513
97	528	370	186	285	227	249	380	877	827	257	684	9	786	634	659	795	143	639
153	913	713	525	785	413	51	239	654	914	528	490	639	707	503	862	422	119	880
408	348	519	629	667	986	244	101	393	502	333	732	591	689	47	972	796	128	765
611	789	617	64	123	863	556	692	736	329	525	335	585	642	834	660	29	136	614
687	839	942	684	991	873	631	475	470	346	50	307	940	215	703	310	506	295	930
207	145	752	512	303	354	567	991	636	415	513	217	633	50	23	171	369	144	39
216	184	404	134	410	595	958	591	396	92	253	623	365	502	885	676	37	547	775
189	674	991	105	548	998	376	147	962	776	293	925	287	506	846	196	111	910	13
763	697	587	25	528	216	456	316	573	254	348	962	445	937	545	369	617	592	894
125	534	317	403	969	647	181	300	508	200	490	569	102	709	521	720	930	214	199
460	690	926	258	622	22	395	480	544	634	860	421	412	728	591	163	862	476	674
493	502	611	243	730	315	980	656	793	952	235	786	216	128	722	817	900	752	411
587	260	151	270	787	796	330	666	329	92	120	879	377	966	756	710	494	794	456
88	38	64	974	173	648	961	877	378	535	913	194	410	188	853	19	385	331	909
120	865	756	727	850	670	791	165	456	696	516	131	90	620	395	237	574	758	172
961	272	316	865	914	267	958	322	380	74	505	471	860	354	116	648	970	213	273
71	400	395	2	169	142	235	208	502	507	516	592	132	935	443	440	187	106	561
271	920	109	447	220	285	173	420	536	380	272	815	863	102	419	512	734	2	42
48	66	992	488	868	428	633	985	508	778	815	928	903	336	196	34	616	771	25
670	984	845	553	600	771	31	242	798	73	513	773	679	983	339	777	766	808	426
328	960	401	135	189	65	426	493	667	194	935	94	81	926	3	943	196	987	255
908	481	345	47	633	72	31	680	611	495	415	286	883	444	122	358	689	936	443
853	499	847	556	315	65	781	32	450	682	196	13	845	152	433	318	535	836	566
913	563	364	998	185	277	420	165	593	820	278	590	346	695	95	519	851	781	587
271	970	272	459	256	104	761	186	618	934	200	70	615	987	745	854	629	465	534
151	39	274	643	186	248	828	91	754	954	479	8	432	733	593	55	326	730	275
529	806	613	129	912	304	658	106	924	402	316	655	516	800	938	950	416	820	567
290	84	288	77	772	650	590	840	264	588	855	720	879	11	381	125	665	717	858
589	946	814	964	22	188	591	449	266	740	34	832	394	369	167	163	46	645	216
527	588	150	858	180	839	702	481	777	837	172	780	475	477	879	433	592	89	263
947	53	648	404	707	913	521	341	898	718	117	586	681	242	876	247	74	985	583
866	58	481	331	211	193	394	947	228	344	933	54	431	942	411	65	376	338	81
569	415	735	290	226	121	811	863	182	889	259	211	357	55	543	960	957	57	352
23	642	56	564	568	2	675	385	44	224	105	4	487	539	920	956	131	405	727
319	877	544	252	457	591	731	532	214	676	210	748	80	986	802	267	62	825	594
577	469	255	893	67	452	532	237	734	742	936	713	20	137	879	667	967	391	834
485	46	852	502	432	113	641	340	774	450	323	157	363	978	889	140	39	990	454
709	573	425	111	384	715	105	464	393	382	75	906	145	785	314	618	99	907	116
63	209	0	580	80	188	175	20	615	948	642	136	447	328	700	87	877	354	678
379	815	101	631	507	508	350	969	416	430	904	169	40	324	671	913	602	603	223
655	604	819	283	30	513	764	152	260	635	985	581	391	261	969	153	60	577	27
785	315	962	564	608	946	232	249	316	908	445	52	317	708	126	47	486	379	313
360	90	130	57	216	167	685	50	58	572	249	812	152	879	12	269	855	864	764
759	712	848	870	595	444	102	53	285	443	259	137	320	577	173	561	105	438	121
259	497	386	536	991	879	500	886	455	817	134	397	144	552	479	931	535	557	482
663	268	931	876	755	375	669	744	56	935	350	433	280	832	229	913	531	164	887
269	137	864	257	535	0	26	664	47	177	148	593	830	755	252	49	180	783	840
526	518	831	240	525	184	951	392	382	531	643	471	802	461	573	984	515	250	510
842	348	489	751	598	624	725	37	111	797	983	600	492	642	895	381	273	547	108
487	568	974	776	753	86	712	612	804	425	779	898	492	261	325	450	909	332	447
598	38	971	811	52	406	167	211	520	216	861	387	262	524	204	679	213	434	542
719	571	370	82	628	809	993	492	159	596	407	118	60	879	693	722	182	431	851
