A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S
978	172	403	996	456	146	537	922	359	498	425	172	536	357	495	662	149	830	634	789
944	634	979	524	530	905	872	835	72	156	45	525	512	394	100	165	57	443	347	532
368	72	204	218	343	908	667	143	744	619	656	644	119	382	44	682	885	600	440	278
489	57	432	648	129	676	527	527	446	614	997	316	461	478	155	15	298	51	566	609
167	135	690	631	91	430	454	855	669	394	957	595	159	487	429	511	312	286	912	936
50	664	752	611	234	360	400	127	861	950	237	945	247	844	963	586	63	118	44	207
559	995	987	92	240	914	775	541	354	691	283	403	504	892	266	144	122	892	327	175
916	176	355	819	468	943	864	578	697	395	562	61	95	679	109	375	758	512	954	215
682	681	811	964	966	551	789	957	26	765	462	922	675	357	236	10	801	892	909	265
844	529	44	438	599	802	201	927	143	18	682	505	877	411	917	536	151	596	816	182
925	503	663	932	174	482	260	779	267	71	85	477	811	586	7	133	822	839	953	64
382	246	483	262	879	372	253	417	798	823	148	545	407	213	199	673	129	346	240	81
341	876	398	681	260	396	318	351	878	724	474	950	790	807	362	139	234	177	559	197
105	341	399	272	782	493	202	613	497	81	667	642	164	527	730	785	738	627	70	232
211	171	592	93	709	370	970	684	949	911	102	950	171	425	212	55	395	993	923	581
576	180	793	832	763	596	318	834	497	586	962	228	210	81	814	978	934	546	224	860
314	352	232	378	824	711	671	644	653	214	688	227	523	766	758	983	375	670	837	566
485	197	133	486	247	747	601	639	245	715	822	208	990	177	511	404	164	772	85	425
69	129	811	237	406	604	87	269	963	147	157	171	82	696	766	379	205	187	813	842
373	554	402	540	68	918	784	600	75	84	137	642	306	84	681	342	374	297	175	436
116	509	296	588	420	561	238	870	601	126	638	270	308	723	351	995	848	195	654	835
457	266	639	605	902	260	470	82	69	282	19	280	621	681	403	557	463	393	875	308
374	504	8	431	629	368	314	450	79	820	895	39	186	474	891	172	213	92	285	189
288	601	709	566	659	332	346	146	7	990	728	185	384	981	422	97	404	399	486	692
669	172	733	738	682	360	178	291	348	378	603	843	516	53	339	978	658	784	153	727
976	939	650	376	989	88	205	825	597	204	175	135	157	745	717	567	909	833	95	55
542	289	325	961	123	128	616	40	837	178	235	448	934	117	515	702	686	95	465	121
92	842	633	52	68	197	939	202	687	145	902	860	352	941	220	409	859	142	833	547
360	110	813	898	301	943	681	671	130	333	190	455	637	405	265	362	965	694	58	55
84	315	948	142	470	409	247	201	110	923	305	968	512	648	899	744	673	422	423	431
